type;category;sub_category;date_of_transaction;description;comment;recurrence;units_of_recurrence;interval_of_recurrence;recurrence_end_date;amount;;;;;;;;;;;;;
Expense;Clothing;;05/02/2023;Winter Wardrobe;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Clothing;;18/04/2023;Spring Fashion;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Clothing;;22/06/2023;Summer Apparel;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Clothing;;30/08/2023;Back-to-School Shopping;;FALSE;months;1;;180;;;;;;;;;;;;;
Expense;Clothing;;15/10/2023;Fall Wardrobe;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Debt Payments;;30/01/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;28/02/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/03/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/04/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/05/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/06/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/07/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/08/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/09/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/10/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/11/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/12/2023;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;30/01/2024;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Debt Payments;;29/02/2024;;;FALSE;months;1;;214,29;;;;;;;;;;;;;
Expense;Entertainment;;10/01/2023;Movie Night;;FALSE;months;1;;45,37;;;;;;;;;;;;;
Expense;Entertainment;;05/02/2023;Concert Tickets;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Entertainment;;20/03/2023;Amusement Park Visit;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Entertainment;;15/04/2023;Theater Show;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Entertainment;;12/05/2023;Video Games;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Entertainment;;25/06/2023;Mini Golf;;FALSE;months;1;;95;;;;;;;;;;;;;
Expense;Entertainment;;18/07/2023;Sports Event;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Entertainment;;10/08/2023;Bowling Night;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Entertainment;;22/09/2023;Escape Room;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Entertainment;;19/10/2023;Museum Visit;;FALSE;months;1;;35;;;;;;;;;;;;;
Expense;Entertainment;;14/11/2023;Karaoke Night;;FALSE;months;1;;67;;;;;;;;;;;;;
Expense;Entertainment;;30/12/2023;Comedy Club;;FALSE;months;1;;45;;;;;;;;;;;;;
Expense;Entertainment;;08/01/2024;Arcade Games;;FALSE;months;1;;65;;;;;;;;;;;;;
Expense;Entertainment;;14/02/2024;Theme Park;;FALSE;months;1;;170;;;;;;;;;;;;;
Expense;Entertainment;;29/02/2024;Leap Year Celebration;;FALSE;months;1;;65;;;;;;;;;;;;;
Expense;Furniture;;08/01/2023;Living Room Furniture;;FALSE;months;1;;350;;;;;;;;;;;;;
Expense;Furniture;;20/02/2023;Bedroom Set;;FALSE;months;1;;400,13;;;;;;;;;;;;;
Expense;Furniture;;19/03/2023;Dining Table and Chairs;;FALSE;months;1;;300;;;;;;;;;;;;;
Expense;Furniture;;28/04/2023;Home Decor;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Furniture;;15/05/2023;Kitchen Appliances;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Furniture;;05/06/2023;Outdoor Furniture;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Gifts;;15/01/2023;Birthday Gift;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Gifts;;08/03/2023;Anniversary Present;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Gifts;;20/05/2023;Wedding Gift;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Gifts;;12/07/2023;Special Occasion Gift;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Gifts;;05/09/2023;Holiday Gift;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Gifts;;11/11/2023;Christmas Presents;;FALSE;months;1;;55;;;;;;;;;;;;;
Expense;Groceries;;01/01/2023;;;FALSE;months;1;;115;;;;;;;;;;;;;
Expense;Groceries;;11/01/2023;;;FALSE;months;1;;145;;;;;;;;;;;;;
Expense;Groceries;;21/01/2023;;;FALSE;months;1;;167;;;;;;;;;;;;;
Expense;Groceries;;31/01/2023;;;FALSE;months;1;;126;;;;;;;;;;;;;
Expense;Groceries;;10/02/2023;;;FALSE;months;1;;173;;;;;;;;;;;;;
Expense;Groceries;;20/02/2023;;;FALSE;months;1;;102;;;;;;;;;;;;;
Expense;Groceries;;02/03/2023;;;FALSE;months;1;;155;;;;;;;;;;;;;
Expense;Groceries;;12/03/2023;;;FALSE;months;1;;192;;;;;;;;;;;;;
Expense;Groceries;;22/03/2023;;;FALSE;months;1;;141;;;;;;;;;;;;;
Expense;Groceries;;01/04/2023;;;FALSE;months;1;;148;;;;;;;;;;;;;
Expense;Groceries;;11/04/2023;;;FALSE;months;1;;162;;;;;;;;;;;;;
Expense;Groceries;;21/04/2023;;;FALSE;months;1;;157;;;;;;;;;;;;;
Expense;Groceries;;01/05/2023;;;FALSE;months;1;;121;;;;;;;;;;;;;
Expense;Groceries;;11/05/2023;;;FALSE;months;1;;151;;;;;;;;;;;;;
Expense;Groceries;;21/05/2023;;;FALSE;months;1;;173;;;;;;;;;;;;;
Expense;Groceries;;31/05/2023;;;FALSE;months;1;;138;;;;;;;;;;;;;
Expense;Groceries;;10/06/2023;;;FALSE;months;1;;126;;;;;;;;;;;;;
Expense;Groceries;;20/06/2023;;;FALSE;months;1;;160;;;;;;;;;;;;;
Expense;Groceries;;30/06/2023;;;FALSE;months;1;;105;;;;;;;;;;;;;
Expense;Groceries;;10/07/2023;;;FALSE;months;1;;147,56;;;;;;;;;;;;;
Expense;Groceries;;20/07/2023;;;FALSE;months;1;;166;;;;;;;;;;;;;
Expense;Groceries;;30/07/2023;;;FALSE;months;1;;130;;;;;;;;;;;;;
Expense;Groceries;;09/08/2023;;;FALSE;months;1;;153;;;;;;;;;;;;;
Expense;Groceries;;19/08/2023;;;FALSE;months;1;;202;;;;;;;;;;;;;
Expense;Groceries;;29/08/2023;;;FALSE;months;1;;176;;;;;;;;;;;;;
Expense;Groceries;;08/09/2023;;;FALSE;months;1;;127;;;;;;;;;;;;;
Expense;Groceries;;18/09/2023;;;FALSE;months;1;;164;;;;;;;;;;;;;
Expense;Groceries;;28/09/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Groceries;;08/10/2023;;;FALSE;months;1;;190,15;;;;;;;;;;;;;
Expense;Groceries;;18/10/2023;;;FALSE;months;1;;128;;;;;;;;;;;;;
Expense;Groceries;;28/10/2023;;;FALSE;months;1;;176;;;;;;;;;;;;;
Expense;Groceries;;07/11/2023;;;FALSE;months;1;;147;;;;;;;;;;;;;
Expense;Groceries;;17/11/2023;;;FALSE;months;1;;138;;;;;;;;;;;;;
Expense;Groceries;;27/11/2023;;;FALSE;months;1;;172;;;;;;;;;;;;;
Expense;Groceries;;07/12/2023;;;FALSE;months;1;;149;;;;;;;;;;;;;
Expense;Groceries;;17/12/2023;;;FALSE;months;1;;163;;;;;;;;;;;;;
Expense;Groceries;;27/12/2023;;;FALSE;months;1;;132;;;;;;;;;;;;;
Expense;Groceries;;06/01/2024;;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Groceries;;16/01/2024;;;FALSE;months;1;;182;;;;;;;;;;;;;
Expense;Groceries;;26/01/2024;;;FALSE;months;1;;161;;;;;;;;;;;;;
Expense;Healthcare;;15/02/2023;Pharmacy Essentials;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Healthcare;;05/04/2023;Dental Checkup;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Healthcare;;08/06/2023;Health Supplements;;FALSE;months;1;;80;;;;;;;;;;;;;
Expense;Healthcare;;17/08/2023;Vision Care;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Healthcare;;20/10/2023;Fitness Equipment;;FALSE;months;1;;180;;;;;;;;;;;;;
Expense;Healthcare;;12/12/2023;Medical Expenses;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Hobby;;25/01/2023;Art Supplies;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Hobby;;10/03/2023;Hobby Workshop;;FALSE;months;1;;250;;;;;;;;;;;;;
Expense;Hobby;;28/05/2023;Sports Equipment;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Hobby;;19/07/2023;Craft Supplies;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Hobby;;15/09/2023;Musical Instruments;;FALSE;months;1;;180;;;;;;;;;;;;;
Expense;Hobby;;29/11/2023;Outdoor Gear;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Hobby;;14/01/2024;Collectibles;;FALSE;months;1;;250;;;;;;;;;;;;;
Income;Investment Income;;01/03/2023;;;FALSE;months;1;;200;;;;;;;;;;;;;
Income;Investment Income;;01/06/2023;;;FALSE;months;1;;50;;;;;;;;;;;;;
Income;Investment Income;;01/07/2023;;;FALSE;months;1;;200;;;;;;;;;;;;;
Income;Jordan's Income;;01/01/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/02/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/03/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/04/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/05/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/06/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/07/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/08/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/09/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/10/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/11/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/12/2023;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/01/2024;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Income;Jordan's Income;;01/02/2024;Monthly salary;;FALSE;months;1;;2610;;;;;;;;;;;;;
Expense;Miscellaneous;;05/01/2023;Shopping Spree;;FALSE;months;1;;35;;;;;;;;;;;;;
Expense;Miscellaneous;;12/02/2023;Home Decor;;FALSE;months;1;;10;;;;;;;;;;;;;
Expense;Miscellaneous;;28/03/2023;Gadgets;;FALSE;months;1;;35;;;;;;;;;;;;;
Expense;Miscellaneous;;10/04/2023;Miscellaneous Expenses;;FALSE;months;1;;80;;;;;;;;;;;;;
Expense;Miscellaneous;;17/05/2023;Hobbies;;FALSE;months;1;;90;;;;;;;;;;;;;
Expense;Miscellaneous;;28/06/2023;Gifts and Souvenirs;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Miscellaneous;;25/07/2023;Miscellaneous Purchase;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Miscellaneous;;15/08/2023;Home Improvement;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Miscellaneous;;20/09/2023;Miscellaneous Items;;FALSE;months;1;;80;;;;;;;;;;;;;
Expense;Miscellaneous;;25/10/2023;Random Expenses;;FALSE;months;1;;55;;;;;;;;;;;;;
Expense;Miscellaneous;;03/11/2023;Leisure Activities;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Miscellaneous;;18/12/2023;Miscellaneous Spending;;FALSE;months;1;;40;;;;;;;;;;;;;
Expense;Miscellaneous;;27/01/2024;Personal Items;;FALSE;months;1;;30,6;;;;;;;;;;;;;
Expense;Miscellaneous;;09/02/2024;Home Organization;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Miscellaneous;;29/02/2024;Leap Year Splurge;;FALSE;months;1;;50;;;;;;;;;;;;;
Income;Other Sources of Income;;24/12/2023;Christmas Gift;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Party;;20/02/2023;Birthday Celebration;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Party;;14/04/2023;Housewarming Party;;FALSE;months;1;;80;;;;;;;;;;;;;
Expense;Party;;25/06/2023;BBQ Gathering;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Party;;12/08/2023;Movie Night;;FALSE;months;1;;40;;;;;;;;;;;;;
Expense;Party;;05/10/2023;Costume Party;;FALSE;months;1;;60;;;;;;;;;;;;;
Income;Personal Share of Income;;01/01/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/02/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/03/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/04/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/05/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/06/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/07/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/08/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/09/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/10/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/11/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/12/2023;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/01/2024;;;FALSE;months;1;;290;;;;;;;;;;;;;
Income;Personal Share of Income;;01/02/2024;;;FALSE;months;1;;290;;;;;;;;;;;;;
Expense;Pet;;15/01/2023;Pet Supplies;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Pet;;08/02/2023;Veterinary Visit;;FALSE;months;1;;175;;;;;;;;;;;;;
Expense;Pet;;23/03/2023;Pet Food;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Pet;;14/04/2023;Grooming;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Pet;;22/05/2023;Pet Accessories;;FALSE;months;1;;40;;;;;;;;;;;;;
Expense;Pet;;10/06/2023;Pet Care;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Pet;;29/07/2023;Pet Toys;;FALSE;months;1;;45;;;;;;;;;;;;;
Expense;Pet;;12/08/2023;Veterinary Checkup;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Pet;;17/09/2023;Pet Supplies;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Pet;;30/10/2023;Pet Food;;FALSE;months;1;;70,02;;;;;;;;;;;;;
Expense;Housing;;01/01/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/02/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/03/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/04/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/05/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/06/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/07/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/08/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/09/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/10/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/11/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/12/2023;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/01/2024;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Housing;;01/02/2024;Rent;;FALSE;months;1;;1000;;;;;;;;;;;;;
Expense;Restaurant;;10/01/2023;Dinner at ABC Restaurant;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Restaurant;;05/02/2023;Lunch with Friends;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Restaurant;;20/03/2023;Date Night at XYZ Bistro;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Restaurant;;15/04/2023;Family Dinner;;FALSE;months;1;;40;;;;;;;;;;;;;
Expense;Restaurant;;12/05/2023;Anniversary Celebration;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Restaurant;;25/06/2023;Birthday Dinner;;FALSE;months;1;;95;;;;;;;;;;;;;
Expense;Restaurant;;18/07/2023;Dinner with Colleagues;;FALSE;months;1;;45,13;;;;;;;;;;;;;
Expense;Restaurant;;10/08/2023;Casual Dining;;FALSE;months;1;;30;;;;;;;;;;;;;
Expense;Restaurant;;22/09/2023;Dinner Date;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Restaurant;;19/10/2023;Restaurant Gathering;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Restaurant;;14/11/2023;Weekend Dinner;;FALSE;months;1;;75;;;;;;;;;;;;;
Expense;Restaurant;;30/12/2023;New Year's Eve Dinner;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Restaurant;;08/01/2024;Dinner Party;;FALSE;months;1;;55;;;;;;;;;;;;;
Expense;Restaurant;;14/02/2024;Valentine's Day Dinner;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Restaurant;;29/02/2024;Leap Year Celebration;;FALSE;months;1;;40;;;;;;;;;;;;;
Income;Riley's Income;;01/01/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/02/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/03/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/04/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/05/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/06/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/07/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/08/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/09/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/10/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/11/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/12/2023;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/01/2024;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Income;Riley's Income;;01/02/2024;Monthly salary;;FALSE;months;1;;2160;;;;;;;;;;;;;
Expense;Subscriptions;;03/03/2023;Streaming Service;;FALSE;months;1;;15;;;;;;;;;;;;;
Expense;Subscriptions;;09/05/2023;Magazine Subscription;;FALSE;months;1;;25;;;;;;;;;;;;;
Expense;Subscriptions;;14/07/2023;Gym Membership;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Subscriptions;;30/09/2023;Music Streaming;;FALSE;months;1;;20;;;;;;;;;;;;;
Expense;Subscriptions;;08/12/2023;Software Subscription;;FALSE;months;1;;30;;;;;;;;;;;;;
Expense;Subscriptions;;01/02/2024;Online Course Subscription;;FALSE;months;1;;70;;;;;;;;;;;;;
Expense;Taxes;;07/07/2023;Yearly taxes;;FALSE;months;1;;3004,56;;;;;;;;;;;;;
Expense;Transportation;;05/02/2024;Bus Pass;;FALSE;months;1;;68,65;;;;;;;;;;;;;
Expense;Transportation;;15/02/2024;Metro Tickets;;FALSE;months;1;;45,77;;;;;;;;;;;;;
Expense;Transportation;;25/02/2024;Bicycle Repair;;FALSE;months;1;;34,32;;;;;;;;;;;;;
Expense;Transportation;;06/03/2024;Taxi Rides;;FALSE;months;1;;91,53;;;;;;;;;;;;;
Expense;Transportation;;16/03/2024;Public Transit Pass;;FALSE;months;1;;68,65;;;;;;;;;;;;;
Expense;Transportation;;26/03/2024;Uber Rides;;FALSE;months;1;;54,92;;;;;;;;;;;;;
Expense;Transportation;;05/04/2024;Bicycle Maintenance;;FALSE;months;1;;22,88;;;;;;;;;;;;;
Expense;Transportation;;15/04/2024;Public Transit Pass;;FALSE;months;1;;82,38;;;;;;;;;;;;;
Expense;Transportation;;25/04/2024;Taxi Rides;;FALSE;months;1;;32,04;;;;;;;;;;;;;
Expense;Transportation;;05/05/2024;Metro Tickets;;FALSE;months;1;;45,77;;;;;;;;;;;;;
Expense;Transportation;;15/05/2024;Bicycle Accessories;;FALSE;months;1;;25,17;;;;;;;;;;;;;
Expense;Transportation;;25/05/2024;Public Transit Pass;;FALSE;months;1;;91,53;;;;;;;;;;;;;
Expense;Transportation;;04/06/2024;Yearly Train Pass;;FALSE;months;1;;274,60;;;;;;;;;;;;;
Expense;Transportation;;14/06/2024;Bicycle Repair;;FALSE;months;1;;34,32;;;;;;;;;;;;;
Expense;Transportation;;24/06/2024;Public Transit Pass;;FALSE;months;1;;73,23;;;;;;;;;;;;;
Expense;Transportation;;04/07/2024;Uber Rides;;FALSE;months;1;;50,34;;;;;;;;;;;;;
Expense;Transportation;;14/07/2024;Bicycle Maintenance;;FALSE;months;1;;20,59;;;;;;;;;;;;;
Expense;Transportation;;24/07/2024;Public Transit Pass;;FALSE;months;1;;77,80;;;;;;;;;;;;;
Expense;Transportation;;03/08/2024;Yearly Train Pass;;FALSE;months;1;;274,60;;;;;;;;;;;;;
Expense;Transportation;;13/08/2024;Taxi Rides;;FALSE;months;1;;36,61;;;;;;;;;;;;;
Expense;Transportation;;23/08/2024;Public Transit Pass;;FALSE;months;1;;73,23;;;;;;;;;;;;;
Expense;Transportation;;02/09/2024;Metro Tickets;;FALSE;months;1;;41,19;;;;;;;;;;;;;
Expense;Transportation;;12/09/2024;Public Transit Pass;;FALSE;months;1;;77,80;;;;;;;;;;;;;
Expense;Transportation;;22/09/2024;Bicycle Accessories;;FALSE;months;1;;27,46;;;;;;;;;;;;;
Expense;Transportation;;02/10/2024;Yearly Train Pass;;FALSE;months;1;;274,60;;;;;;;;;;;;;
Expense;Travel;;05/07/2023;Flight Tickets;;FALSE;months;1;;900;;;;;;;;;;;;;
Expense;Travel;;10/07/2023;Accommodation;;FALSE;months;1;;800;;;;;;;;;;;;;
Expense;Travel;;15/07/2023;Sightseeing Tours;;FALSE;months;1;;350;;;;;;;;;;;;;
Expense;Travel;;20/07/2023;Dining While Traveling;;FALSE;months;1;;500;;;;;;;;;;;;;
Expense;Travel;;25/07/2023;Transportation Abroad;;FALSE;months;1;;323,8;;;;;;;;;;;;;
Expense;Travel;;30/07/2023;Travel Souvenirs;;FALSE;months;1;;200;;;;;;;;;;;;;
Expense;Travel;;05/08/2023;Travel Insurance;;FALSE;months;1;;250;;;;;;;;;;;;;
Expense;Travel;;10/08/2023;Additional Expenses;;FALSE;months;1;;350;;;;;;;;;;;;;
Expense;Travel;;30/10/2023;Weekend Paris;;FALSE;months;1;;300,58;;;;;;;;;;;;;
Expense;Treats;;08/01/2023;Dessert Night;;FALSE;months;1;;30;;;;;;;;;;;;;
Expense;Treats;;22/03/2023;Sweet Treats;;FALSE;months;1;;50;;;;;;;;;;;;;
Expense;Treats;;15/05/2023;Gourmet Dinner;;FALSE;months;1;;120;;;;;;;;;;;;;
Expense;Treats;;07/07/2023;Ice Cream Party;;FALSE;months;1;;40;;;;;;;;;;;;;
Expense;Treats;;10/09/2023;Snack Splurge;;FALSE;months;1;;60;;;;;;;;;;;;;
Expense;Treats;;02/11/2023;Chocolate Heaven;;FALSE;months;1;;100;;;;;;;;;;;;;
Expense;Treats;;05/01/2024;Fine Dining;;FALSE;months;1;;150;;;;;;;;;;;;;
Expense;Utilities;;12/01/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/02/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/03/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/04/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/05/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/06/2023;;;FALSE;months;1;;187;;;;;;;;;;;;;
Expense;Utilities;;12/07/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/08/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/09/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/10/2023;;;FALSE;months;1;;71;;;;;;;;;;;;;
Expense;Utilities;;12/11/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/12/2023;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/01/2024;;;FALSE;months;1;;142;;;;;;;;;;;;;
Expense;Utilities;;12/02/2024;;;FALSE;months;1;;142;;;;;;;;;;;;;